Date	Cereals and products	Meat and fish	Egg	Milk and products	Oils and fats	Fruits	Vegetables	Pulses and products	Sugar and confectionery	Spices	Non-alcoholic beverages	Prepared meals, snacks, sweets etc.	Pan, tobacco and intoxicants	Clothing	Footwear	Housing	Fuel and light	Household goods and services	Health	Transport and communication	Recreation and amusement	Education	Personal care and effects
01 November 2015	0.016127363	0.139047469	0.005744106	0.403271172	0.077835304	-0.021224307	1.006035227	1.268002247	-0.027638355	0.26033449	0.069766682	0.524548808	0.240816019	0.214457356	0.018407502	0.882992995	0.209007523	0.122052351	0.221829666	0.017445924	0.091121493	0.328134547	0.125886212
01 December 2015	0.052615653	0.282668624	0.01487264	0.255099725	0.102923656	-0.018378251	1.155735189	1.286260868	-0.019171407	0.282826442	0.074418965	0.522657626	0.228693553	0.200599852	0.017730837	0.861111244	0.183164171	0.134936551	0.233203818	0.062726859	0.089940514	0.297353356	0.104172067
01 January 2016	0.118467421	0.462653802	0.05057104	0.190945251	0.075770577	-0.067948623	1.133511339	1.211296247	-0.00291207	0.306972018	0.076846631	0.499759177	0.192971125	0.225598021	0.016801066	0.867547053	0.11495668	0.131687887	0.224939325	0.088077204	0.095060457	0.223352383	0.111495805
01 February 2016	0.165638816	0.421089346	0.088826767	0.180863791	0.068464996	-0.124913328	0.507616904	1.097428824	0.006629467	0.299545993	0.079899064	0.492906019	0.18277323	0.217702889	0.016746155	0.895864613	0.044260727	0.132762129	0.230146708	0.159589998	0.099166634	0.214431888	0.19908595
01 March 2016	0.203485775	0.410353116	0.092773773	0.188908377	0.079900414	-0.173646864	0.315482495	0.962614054	0.01909021	0.333377089	0.081627803	0.493739741	0.176928777	0.230137645	0.017716188	0.827645037	-0.126672207	0.142444806	0.224409214	0.005283356	0.100585219	0.20827789	0.270124006
01 April 2016	0.251511819	0.379612156	0.091589783	0.148698209	0.084859351	-0.103388888	0.395002635	0.93505211	0.059688706	0.385246503	0.080619217	0.458171873	0.163974227	0.231259261	0.01943972	0.837942332	-0.143007765	0.150788799	0.236506277	0.146428554	0.095493501	0.20827789	0.271831684
01 May 2016	0.227514547	0.350704113	0.1069269	0.147168126	0.083954319	-0.138936094	0.938453472	0.843395697	0.069347519	0.389212535	0.078214725	0.423926016	0.15967421	0.240680666	0.016061637	0.882992995	-0.151124336	0.160648336	0.232958468	-0.016715406	0.093791599	0.216037057	0.296598074
01 June 2016	0.253715555	0.287400883	0.05178135	0.119006669	0.065312151	-0.086765485	0.897986215	0.724861825	0.078970253	0.350648086	0.077716571	0.402817126	0.172514933	0.213019681	0.014275241	0.8726957	-0.148762775	0.13840448	0.225252494	0.022506288	0.069918761	0.149037793	0.316599491
01 July 2016	0.328054918	0.370592072	0.108687897	0.128607967	0.062208368	-0.037523604	0.065411167	0.741562182	0.09310222	0.350553677	0.07645045	0.387666755	0.138140631	0.210639412	0.014889043	0.846952464	-0.16142592	0.161693842	0.229266147	-0.001755727	0.067528575	0.135824688	0.403069545
01 August 2016	0.361484823	0.352481366	0.100085639	0.132949951	0.071989719	0.059066539	-0.377820764	0.566905537	0.104867319	0.346277845	0.081910789	0.426529085	0.137770093	0.215087646	0.014992944	0.866259891	-0.181667987	0.167062817	0.226415685	0.035783519	0.068614483	0.190774917	0.429526628
