வார்டு எண்,மரியாதைத் தலைப்பு,வேட்பாளரின் பெயர்,வேட்பாளரின் தந்தை/கணவர் பெயர்,பாலினம்‌,வயது,அரசியல் கட்சியின் பெயர்,வேட்புமனுவின் நிலை
60,திரு,அமிர்சுல்தான்,அலிஜின்னா,ஆண்,41,சுயேட்சை வேட்பாளர், நிராகரிக்கப் பட்டது 
60,திரு,அமிர் சுல்தான்,ஜின்னா,ஆண்,41,சுயேட்சை வேட்பாளர், நிராகரிக்கப் பட்டது 
61,திருமதி,ஜோதிலட்சுமி,லட்சுமணன்கோபி,பெண்,38,தேசிய முற்போக்கு திராவிட கழகம்,
61,திருமதி,வசந்தி,நல்லதம்பி,பெண்,44,Naam Tamilar Katchi,
61,திருமதி,ரம்ஜான்,காதர்,பெண்,50,சுயேட்சை வேட்பாளர்,
61,திருமதி,பிரியா,துரைராஜ்,பெண்,35,Pattali Makkal Katchi,
61,திருமதி,சுபைதா பீவி,அப்துல் காதர்,பெண்,59,Social Democratic Party of India,
61,திருமதி,கௌசல்யா தேவி,புஷ்பராஜ்,பெண்,40,சுயேட்சை வேட்பாளர்,
61,திருமதி,கஸ்தூரி,தினகரன்,பெண்,55,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,
61,திருமதி,உமாதேவி,வீரமணி,பெண்,36,பாரதிய ஜனதா கட்சி,
61,திருமதி,பாத்திமா அஹமத்,முசப்பர் அஹமத்,பெண்,50,Indian Union Muslim League,
61,திருமதி,சாமுண்டேஸ்வரி,வசந்த் சிங்,பெண்,49,Makkal Needhi Maiam,
61,திருமதி,அங்காளபரமேஸ்வரி,திருப்பதி,பெண்,47,Amma Makkal Munnettra Kazagam,
61,திருமதி,வனிதா,சுகுமார்,பெண்,36,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
61,திருமதி,யாஸ்மின் பர்ஹானா ,மொய்தீன்,பெண்,31,Indian Union Muslim League, திரும்பப்பெறப் பட்டது 
61,திருமதி,பாத்திமா ரிப்கா,நவ்ஷத் ராஜா முகம்மது,பெண்,37,சுயேட்சை வேட்பாளர், திரும்பப்பெறப் பட்டது 
61,திருமதி,பரக்கத்து நிசா,சாதிக் பாஷா,பெண்,44,Social Democratic Party of India, திரும்பப்பெறப் பட்டது 
61,திருமதி,சுபைதா பீவி,அப்துல் காதர்,பெண்,59,Social Democratic Party of India, நிராகரிக்கப் பட்டது 
62,திரு,ஜெயசந்திரன்,சுந்தர மூர்த்தி,ஆண்,39,பாரதிய ஜனதா கட்சி,
62,திரு,ஜெயகுமார்,சிவக்குமார்,ஆண்,37,Makkal Needhi Maiam,
