City,Deaths,Mode of transport,Person
DELHI (CITY),2.0,Hand Drawn Vehicle,Total
DELHI (CITY),0.0,Animal Drawn Vehicle,Offenders
DELHI (CITY),0.0,Animal Drawn Vehicle,Victims
DELHI (CITY),0.0,Animal Drawn Vehicle,Total
DELHI (CITY),4.0,Pedestrian,Offenders
DELHI (CITY),53.0,Pedestrian,Victims
DELHI (CITY),57.0,Pedestrian,Total
DELHI (CITY),3.0,Others,Offenders
DELHI (CITY),12.0,Others,Victims
DELHI (CITY),15.0,Others,Total
DELHI (CITY),26.0,Truck/Lorry,Offenders
DELHI (CITY),72.0,Truck/Lorry,Victims
DELHI (CITY),98.0,Truck/Lorry,Total
DELHI (CITY),12.0,Bus,Offenders
DELHI (CITY),26.0,Bus,Victims
DELHI (CITY),38.0,Bus,Total
DELHI (CITY),10.0,SUV/Station Wagon/etc.,Offenders
DELHI (CITY),11.0,SUV/Station Wagon/etc.,Victims
DELHI (CITY),21.0,SUV/Station Wagon/etc.,Total
DHANBAD,1.0,Car,Offenders
DHANBAD,0.0,Car,Victims
DHANBAD,1.0,Car,Total
DHANBAD,2.0,Jeep,Offenders
DHANBAD,0.0,Jeep,Victims
DHANBAD,2.0,Jeep,Total
DHANBAD,0.0,Tractor,Offenders
DHANBAD,0.0,Tractor,Victims
DHANBAD,0.0,Tractor,Total
DHANBAD,2.0,Auto Rickshaw,Offenders
DHANBAD,0.0,Auto Rickshaw,Victims
DHANBAD,2.0,Auto Rickshaw,Total
DHANBAD,58.0,Two Wheeler,Offenders
DHANBAD,0.0,Two Wheeler,Victims
DHANBAD,58.0,Two Wheeler,Total
DHANBAD,0.0,Other Motor Vehicles,Offenders
DHANBAD,0.0,Other Motor Vehicles,Victims
DHANBAD,0.0,Other Motor Vehicles,Total
DHANBAD,12.0,Bicycle,Offenders
DHANBAD,0.0,Bicycle,Victims
DHANBAD,12.0,Bicycle,Total
DHANBAD,0.0,Hand Drawn Vehicle,Offenders
DHANBAD,0.0,Hand Drawn Vehicle,Victims
DHANBAD,0.0,Hand Drawn Vehicle,Total
DHANBAD,0.0,Animal Drawn Vehicle,Offenders
DHANBAD,0.0,Animal Drawn Vehicle,Victims
DHANBAD,0.0,Animal Drawn Vehicle,Total
DHANBAD,0.0,Pedestrian,Offenders
DHANBAD,0.0,Pedestrian,Victims
DHANBAD,0.0,Pedestrian,Total
DHANBAD,0.0,Others,Offenders
DHANBAD,0.0,Others,Victims
DHANBAD,0.0,Others,Total
DHANBAD,4.0,Truck/Lorry,Offenders
DHANBAD,0.0,Truck/Lorry,Victims
DHANBAD,4.0,Truck/Lorry,Total
DHANBAD,1.0,Bus,Offenders
DHANBAD,0.0,Bus,Victims
DHANBAD,1.0,Bus,Total
DHANBAD,3.0,SUV/Station Wagon/etc.,Offenders
DHANBAD,0.0,SUV/Station Wagon/etc.,Victims
DHANBAD,3.0,SUV/Station Wagon/etc.,Total
DURG BHILAINAGAR,8.0,Car,Offenders
DURG BHILAINAGAR,3.0,Car,Victims
DURG BHILAINAGAR,11.0,Car,Total
DURG BHILAINAGAR,0.0,Jeep,Offenders
DURG BHILAINAGAR,0.0,Jeep,Victims
DURG BHILAINAGAR,0.0,Jeep,Total
DURG BHILAINAGAR,0.0,Tractor,Offenders
DURG BHILAINAGAR,0.0,Tractor,Victims
DURG BHILAINAGAR,0.0,Tractor,Total
DURG BHILAINAGAR,0.0,Auto Rickshaw,Offenders
DURG BHILAINAGAR,3.0,Auto Rickshaw,Victims
DURG BHILAINAGAR,3.0,Auto Rickshaw,Total
DURG BHILAINAGAR,34.0,Two Wheeler,Offenders
DURG BHILAINAGAR,9.0,Two Wheeler,Victims
DURG BHILAINAGAR,43.0,Two Wheeler,Total
DURG BHILAINAGAR,0.0,Other Motor Vehicles,Offenders
DURG BHILAINAGAR,0.0,Other Motor Vehicles,Victims
DURG BHILAINAGAR,0.0,Other Motor Vehicles,Total
DURG BHILAINAGAR,8.0,Bicycle,Offenders
DURG BHILAINAGAR,3.0,Bicycle,Victims
DURG BHILAINAGAR,11.0,Bicycle,Total
DURG BHILAINAGAR,0.0,Hand Drawn Vehicle,Offenders
DURG BHILAINAGAR,0.0,Hand Drawn Vehicle,Victims
DURG BHILAINAGAR,0.0,Hand Drawn Vehicle,Total
DURG BHILAINAGAR,0.0,Animal Drawn Vehicle,Offenders
DURG BHILAINAGAR,0.0,Animal Drawn Vehicle,Victims
DURG BHILAINAGAR,0.0,Animal Drawn Vehicle,Total
DURG BHILAINAGAR,0.0,Pedestrian,Offenders
