VEHICLE NO,LOCATION,NO.OF BINS,IST TRIP,IIND TRIP,IIRD TRIP,REMARKS,Zone,Div,Shift
TN 22 CF 5613 ,EH ROAD 1ST BRIDGE,1,11.05 PM, , ,NIGHT,4,38,2
TN 04 AC 7627 ,CORNATION NAGAR,1,7.30 AM, , ,DAY,4,41,0
TN 04 AC 7627 ,CORNATION NAGAR,1,7.30 AM, , ,DAY,4,41,1
TN 22 BR 2956 ,A.A ROAD (JEEVA RAILWAY STATION ),2,7.30AM,11.00AM, ,DAY,4,45,0
TN 22 BR 2956 ,A.A ROAD (JEEVA RAILWAY STATION ),2,7.30AM,11.00AM, ,DAY,4,45,1
TN 04 AY 6403 ,A KALYANAPURAM,1, ,11.50 AM, ,NIGHT,4,46,0
TN 22 BR 1249 ,A KALYANAPURAM 1ST STREET,1,9.25 AM, , ,DAY,4,46,1
TN 04 AY 6403 ,A KALYANAPURAM,1, ,11.50 AM, ,NIGHT,4,46,2
TN 04 AY 6435 ,BASUVAIYAN STREET,2,08.30 AM, , ,DAY,4,48,0
TN 04 AY 6435 ,BASUVAIYAN STREET,2,08.30 AM, , ,DAY,4,48,1
TN 22 CF 1678,APPASAMY STREET,1,7 .35AM,10.45AM,12.30PM, ,5,49,0
TN 04 AY 6426,ANDIYAPPAN STREET,2,8.00AM,11.15AM,1.15PM, ,5,50,0
TN 04 AQ 7297,BISHOP LANE,1,7 .45AM,11.00AM,12.45PM, ,5,51,0
TN 04 AD 6261,ADAM STREET,3,7 .35AM,10.45AM,12.30PM, ,5,52,0
TN 22 CH 6311,ARTHOON ROAD,1,7.00AM,9.30AM,12.00PM, ,5,53,0
TN 04 AD 0623,AMMAN KOIL STREET,2,7 .45AM,11.00AM,12.45PM, ,5,54,0
TN 22 CJ 1867,AACHARAYAPPAN STREET,1,8.00AM,11.15AM,1.15PM, ,5,55,0
TN 22 CJ 4842,B.R.N GARDEN,1,7 .35AM,10.45AM,12.30PM, ,5,56,0
TN 22 CJ 1867,AACHARIYAPPAN STREET,3,8.00AM,11.15AM,1.15PM, ,5,57,0
TN 22 BR 2976,ALLIKULAM LINK ROAD (COURT OFFICE NEAR),2,7 .35AM,10.45AM,12.30PM, ,5,58,0
TN 22 AQ 6261,BROADWAY BUS STAND (OUT SIDE),4,7 .35AM,10.45AM,12.30PM, ,5,59,0
TN 04 AD1553,ANGAPPA NAICKEN STREET,2,7.00AM,9.30AM,12.00PM, ,5,60,0
TN 22 CF 5144,AANGLO INDIANS PANTHEON QUARTERS,2,7 .35AM,10.45AM,12.30PM, ,5,61,0
TN 04 AQ 7378,AGRAHARAM ST,2,7 .45AM,11.00AM,12.45PM, ,5,62,0
TN 04 AY 6447,ANNA SALAI ( GP ROAD JN),1,8.30AM,10.45AM,12.30PM, ,5,63,0
 TN 04 AY 6457,AMBEDKAR NAGAR,3, ,1.3, , ,6,64,0
 TN 05 CH 2354,GKM COLONY 1ST MAIN ROAD(JN OF 25TH STREET),4, ,10.3, , ,6,65,0
 TN 04 CH 1440,70 FEET ROAD,4, ,12.3, , ,6,66,0
 TN 05 CF 5272,BISSAT ROAD,3, , ,12, ,6,67,0
 TN 04 AQ 4874,MADHURASAMY MADAM,4,7.2, , , ,6,68,0
