Zone,Div,Address,Area,StreetLight
4,34,"Venkateswara Colony 3rd Street  Venkateshwara Nagar, Kodungaiyur",Kodungaiyur,1
4,34,"Venkateswara Colony 4th Street  Venkateshwara Nagar, Kodungaiyur",Kodungaiyur,1
4,34,"Venkateswara Colony 5th Street  Venkateshwara Nagar, Kodungaiyur",Kodungaiyur,2
4,34,"Venkateswara Colony 7th Street  Venkateshwara Nagar, Kodungaiyur",Kodungaiyur,3
4,34,"Venkateswara Colony 9th Street  Venkateshwara Nagar, Kodungaiyur",Kodungaiyur,3
4,34,"Venkateswara Colony Main Road  Venkateshwara Nagar, Kodungaiyur",Kodungaiyur,29
4,34,"Venkateswara Nagar (Part-1) 2nd Cross Street  Venkateshwara Nagar, Kodungaiyur",Kodungaiyur,1
4,34,"Venkateswara Nagar (Part-1) 4th Cross Street  Venkateshwara Nagar, Kodungaiyur",Kodungaiyur,1
4,34,"Venkateswara Nagar (Part-I) 1st Street  Venkateshwara Nagar, Kodungaiyur",Kodungaiyur,1
4,34,"Venkateswara Nagar (Part-I) 2nd Street  Venkateshwara Nagar, Kodungaiyur",Kodungaiyur,6
4,34,"Venkateswara Nagar (Part-I) 3rd Street  Venkateshwara Nagar, Kodungaiyur",Kodungaiyur,3
4,34,"Venkateswara Nagar (Part-I) 4th Street  Venkateshwara Nagar, Kodungaiyur",Kodungaiyur,1
4,34,"Venkateswara Nagar (Part-Ii) 1st Street  Venkateshwara Nagar, Kodungaiyur",Kodungaiyur,4
4,34,"Venkateswara Nagar (Part-Ii) 2nd Street  Venkateshwara Nagar, Kodungaiyur",Kodungaiyur,9
4,34,"Venkateswara Nagar (Part-Ii) 3rd Street  Venkateshwara Nagar, Kodungaiyur",Kodungaiyur,6
4,34,"Venkateswara Nagar 2nd Part Extension  Venkaeteswara Nagar, Kodungaiyur",Kodungaiyur,3
4,34,"Vijayalakshmi Nagar 1st Street  Vijayalakshmi Nagar, Kodungaiyur",Kodungaiyur,1
4,34,"Vijayalakshmi Nagar Main Road  Vijayalakshmi Nagar, Kodungaiyur",Kodungaiyur,2
4,35,"A.P Arasu Street 5th Lane  Nehru Nagar, Erukkencherry",Erukkencherry,1
4,35,"A.P.Arasu  2nd Lane  Nehru Nagar, Erukkencherry",Erukkencherry,1
