City,Result,Cause of accident,Type
DELHI (CITY),6.0,Weather Condition (Others Causes),Died
DELHI (CITY),29.0,Lack of Road Infrastructure,Cases
DELHI (CITY),32.0,Lack of Road Infrastructure,Injured
DELHI (CITY),1.0,Lack of Road Infrastructure,Died
DELHI (CITY),27.0,Vehicles parked at road  Shoulders,Cases
DELHI (CITY),27.0,Vehicles parked at road  Shoulders,Injured
DELHI (CITY),3.0,Vehicles parked at road  Shoulders,Died
DELHI (CITY),130.0,Causes Not Known,Cases
DELHI (CITY),75.0,Causes Not Known,Injured
DELHI (CITY),62.0,Causes Not Known,Died
DHANBAD,65.0,Careless driving/overtaking,Cases
DHANBAD,27.0,Careless driving/overtaking,Injured
DHANBAD,32.0,Careless driving/overtaking,Died
DHANBAD,71.0,Over speeding,Cases
DHANBAD,65.0,Over speeding,Injured
DHANBAD,47.0,Over speeding,Died
DHANBAD,0.0,DUI,Cases
DHANBAD,0.0,DUI,Injured
DHANBAD,0.0,DUI,Died
DHANBAD,0.0,Physical Fatigue of Drivers,Cases
DHANBAD,0.0,Physical Fatigue of Drivers,Injured
DHANBAD,0.0,Physical Fatigue of Drivers,Died
DHANBAD,22.0,Defect in Mechanical Condition of Motor Vehicle,Cases
DHANBAD,4.0,Defect in Mechanical Condition of Motor Vehicle,Injured
DHANBAD,3.0,Defect in Mechanical Condition of Motor Vehicle,Died
DHANBAD,0.0,Animal Crossing,Cases
DHANBAD,0.0,Animal Crossing,Injured
DHANBAD,0.0,Animal Crossing,Died
DHANBAD,6.0,Weather Condition (Poor Visibility),Cases
DHANBAD,2.0,Weather Condition (Poor Visibility),Injured
DHANBAD,1.0,Weather Condition (Poor Visibility),Died
DHANBAD,0.0,Weather Condition (Others Causes),Cases
DHANBAD,0.0,Weather Condition (Others Causes),Injured
DHANBAD,0.0,Weather Condition (Others Causes),Died
DHANBAD,0.0,Lack of Road Infrastructure,Cases
DHANBAD,0.0,Lack of Road Infrastructure,Injured
DHANBAD,0.0,Lack of Road Infrastructure,Died
DHANBAD,0.0,Vehicles parked at road  Shoulders,Cases
DHANBAD,0.0,Vehicles parked at road  Shoulders,Injured
DHANBAD,0.0,Vehicles parked at road  Shoulders,Died
DHANBAD,0.0,Causes Not Known,Cases
DHANBAD,0.0,Causes Not Known,Injured
DHANBAD,0.0,Causes Not Known,Died
DURG BHILAINAGAR,0.0,Careless driving/overtaking,Cases
DURG BHILAINAGAR,0.0,Careless driving/overtaking,Injured
DURG BHILAINAGAR,0.0,Careless driving/overtaking,Died
DURG BHILAINAGAR,602.0,Over speeding,Cases
DURG BHILAINAGAR,536.0,Over speeding,Injured
DURG BHILAINAGAR,69.0,Over speeding,Died
DURG BHILAINAGAR,1.0,DUI,Cases
DURG BHILAINAGAR,2.0,DUI,Injured
DURG BHILAINAGAR,0.0,DUI,Died
DURG BHILAINAGAR,0.0,Physical Fatigue of Drivers,Cases
DURG BHILAINAGAR,0.0,Physical Fatigue of Drivers,Injured
DURG BHILAINAGAR,0.0,Physical Fatigue of Drivers,Died
DURG BHILAINAGAR,0.0,Defect in Mechanical Condition of Motor Vehicle,Cases
DURG BHILAINAGAR,0.0,Defect in Mechanical Condition of Motor Vehicle,Injured
DURG BHILAINAGAR,0.0,Defect in Mechanical Condition of Motor Vehicle,Died
DURG BHILAINAGAR,0.0,Animal Crossing,Cases
DURG BHILAINAGAR,0.0,Animal Crossing,Injured
DURG BHILAINAGAR,0.0,Animal Crossing,Died
DURG BHILAINAGAR,0.0,Weather Condition (Poor Visibility),Cases
DURG BHILAINAGAR,0.0,Weather Condition (Poor Visibility),Injured
DURG BHILAINAGAR,0.0,Weather Condition (Poor Visibility),Died
DURG BHILAINAGAR,0.0,Weather Condition (Others Causes),Cases
DURG BHILAINAGAR,0.0,Weather Condition (Others Causes),Injured
DURG BHILAINAGAR,0.0,Weather Condition (Others Causes),Died
DURG BHILAINAGAR,0.0,Lack of Road Infrastructure,Cases
DURG BHILAINAGAR,0.0,Lack of Road Infrastructure,Injured
DURG BHILAINAGAR,0.0,Lack of Road Infrastructure,Died
DURG BHILAINAGAR,0.0,Vehicles parked at road  Shoulders,Cases
DURG BHILAINAGAR,0.0,Vehicles parked at road  Shoulders,Injured
DURG BHILAINAGAR,0.0,Vehicles parked at road  Shoulders,Died
DURG BHILAINAGAR,0.0,Causes Not Known,Cases
DURG BHILAINAGAR,0.0,Causes Not Known,Injured
DURG BHILAINAGAR,0.0,Causes Not Known,Died
FARIDABAD,132.0,Careless driving/overtaking,Cases
FARIDABAD,102.0,Careless driving/overtaking,Injured
FARIDABAD,62.0,Careless driving/overtaking,Died
FARIDABAD,253.0,Over speeding,Cases
FARIDABAD,197.0,Over speeding,Injured
FARIDABAD,115.0,Over speeding,Died
FARIDABAD,1.0,DUI,Cases
FARIDABAD,1.0,DUI,Injured
FARIDABAD,0.0,DUI,Died
FARIDABAD,6.0,Physical Fatigue of Drivers,Cases
FARIDABAD,4.0,Physical Fatigue of Drivers,Injured
FARIDABAD,2.0,Physical Fatigue of Drivers,Died
FARIDABAD,0.0,Defect in Mechanical Condition of Motor Vehicle,Cases
FARIDABAD,0.0,Defect in Mechanical Condition of Motor Vehicle,Injured
FARIDABAD,0.0,Defect in Mechanical Condition of Motor Vehicle,Died
FARIDABAD,0.0,Animal Crossing,Cases
FARIDABAD,0.0,Animal Crossing,Injured
FARIDABAD,0.0,Animal Crossing,Died
FARIDABAD,56.0,Weather Condition (Poor Visibility),Cases
FARIDABAD,51.0,Weather Condition (Poor Visibility),Injured
FARIDABAD,26.0,Weather Condition (Poor Visibility),Died
FARIDABAD,12.0,Weather Condition (Others Causes),Cases
FARIDABAD,9.0,Weather Condition (Others Causes),Injured
FARIDABAD,4.0,Weather Condition (Others Causes),Died
FARIDABAD,0.0,Lack of Road Infrastructure,Cases
FARIDABAD,0.0,Lack of Road Infrastructure,Injured
FARIDABAD,0.0,Lack of Road Infrastructure,Died
FARIDABAD,0.0,Vehicles parked at road  Shoulders,Cases
