மண்டலம் ,வார்டு எண்,மரியாதைத் தலைப்பு,வேட்பாளரின் பெயர்,வேட்பாளரின் தந்தை/கணவர் பெயர்,பாலினம்‌,வயது,அரசியல் கட்சியின் பெயர்,கட்சியின் பெயர் (s),Name of candidate,Party (s),Party name,இட ஒதுக்கீடு ,Reservation
7,91,திருமதி,ஆ மாலினி,ஆறுமுகம்,பெண்,55,திராவிட முன்னேற்றக் கழகம்,திமுக,Malini,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
7,92,திரு,வே திலகர்,வேலாயுதம்,ஆண்,45,சுயேச்சை,Independent,Thilakar,Independent,Independent,பொது,General
7,93,திருமதி,சா உமா,மணிவண்ணன்,பெண்,38,திராவிட முன்னேற்றக் கழகம்,திமுக,Uma,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
8,94,திரு,கூபி ஜெயின்,பீட்டர்.கூ.இ,ஆண்,59,திராவிட முன்னேற்றக் கழகம்,திமுக,Jain Kubi,DMK,Dravida Munnetra Kazhagam,பொது,General
8,95,திருமதி, சுதா தீனதயாளன்,தீனதயாளன். பா.தே,பெண்,54,திராவிட முன்னேற்றக் கழகம்,திமுக,Sudha Dheenadayalan,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
8,96,திருமதி,எஸ் தனலட்சுமி,சதீஷ்.கே,பெண்,38,இந்திய தேசிய காங்கிரஸ் ,இ.தே.கா,Dhanalakshmi,INC,Indian National Congress,பெண்கள் (பொது) ,Women (General)
8,97,திருமதி, லதா என்கிற லதாவாசு,வாசு.வே,பெண்,42,திராவிட முன்னேற்றக் கழகம்,திமுக,Latha (A) Latha Vasu,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
8,98,செல்வி,செல்வி ஆ பிரியதர்ஷினி,ஆறுமுகம்.வே,பெண்,21,இந்திய கம்யூனிஸ்ட் கட்சி (மார்க்சிஸ்ட்),சி.பி.எம் ,Priyadharshini,CPI (M),Communist Party of India (Marxist),பெண்கள் (பொது) ,Women (General)
8,99,திரு, பரிதி இளம்சுருதி,பரிதி இளம்வழுதி,ஆண்,32,திராவிட முன்னேற்றக் கழகம்,திமுக,Paridhi lllamsurudhi,DMK,Dravida Munnetra Kazhagam,பட்டியல் சாதியினர் (பொது),Scheduled Castes (General)
8,100,திருமதி, வசந்தி பரமசிவம்,பரமசிவம்,பெண்,57,திராவிட முன்னேற்றக் கழகம்,திமுக,Vasanthi Paramasivam,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
8,101,திருமதி, மெட்டில்டா கோவிந்தராஜ்,கோவிந்தராஜ்,பெண்,52,திராவிட முன்னேற்றக் கழகம்,திமுக,Metilda Govindaraj,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
8,102,திருமதி,கே ராணி,ரவிச்சந்திரன்,பெண்,47,திராவிட முன்னேற்றக் கழகம்,திமுக,Rani,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
8,103,திருமதி,ஜெ புஷ்பலதா,ஜெய்சங்கர்,பெண்,50,திராவிட முன்னேற்றக் கழகம்,திமுக,Pushpalatha,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
8,104,திரு,டி வி செம்மொழி,வரதராஜீலு,ஆண்,56,திராவிட முன்னேற்றக் கழகம்,திமுக,Semmozhi,DMK,Dravida Munnetra Kazhagam,பொது,General
8,105,திரு,ந அதியமான்,எஸ்.டி.நடராஜன்,ஆண்,59,திராவிட முன்னேற்றக் கழகம்,திமுக,Adhiyamaan,DMK,Dravida Munnetra Kazhagam,பொது,General
8,106,திரு,ந இராமலிங்கம்,நடேசன்,ஆண்,75,திராவிட முன்னேற்றக் கழகம்,திமுக,Ramalingam,DMK,Dravida Munnetra Kazhagam,பொது,General
8,107,திருமதி,தி கிரண் ஷர்மிலி,செ வினோத் குமார்,பெண்,30,விடுதலைச் சிறுத்தைகள் கட்சி,விசிக,Kiran Sharmili,VCK,Viduthalai Chiruthaigal Katchi,பெண்கள் (பொது) ,Women (General)
8,108,திரு,எல் சுந்தர்ராஜன்,சி.கே.லோகநாதன்,ஆண்,60,திராவிட முன்னேற்றக் கழகம்,திமுக,Sundarajan,DMK,Dravida Munnetra Kazhagam,பட்டியல் சாதியினர் (பொது),Scheduled Castes (General)
9,109,திருமதி,எ சுகன்யா,செல்வம்,பெண்,44,இந்திய தேசிய காங்கிரஸ் ,இ.தே.கா,Suganya.A,INC,Indian National Congress,பெண்கள் (பொது) ,Women (General)
9,110,திரு,நே சிற்றரசு,நேத்தாஜி.வ,ஆண்,44,திராவிட முன்னேற்றக் கழகம்,திமுக,Citrarasu,DMK,Dravida Munnetra Kazhagam,பொது,General
9,111,திருமதி,மு ஆ நந்தினி,சகாயராஜ்.ரா,பெண்,36,திராவிட முன்னேற்றக் கழகம்,திமுக,Nandhini,DMK,Dravida Munnetra Kazhagam,பட்டியல் சாதியினர் (பெண்கள்),Scheduled Castes (Women)
9,112,திருமதி, எலிசபெத் அகஸ்டின்,அகஸ்டின் பாபு ராஜ்,பெண்,58,திராவிட முன்னேற்றக் கழகம்,திமுக,Elizabath Augastin,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
9,113,திருமதி, பிரேமா சுரேஸ்,சுரேஸ்,பெண்,38,திராவிட முன்னேற்றக் கழகம்,திமுக,Prema Suresh,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
9,114,திரு,எஸ் மதன்மோகன்,சீனிவாசலு,ஆண்,47,திராவிட முன்னேற்றக் கழகம்,திமுக,Madhan Mohan,DMK,Dravida Munnetra Kazhagam,பொது,General
