Title,Rice,Wheat,Atta,Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk,Groundnut Oil,Mustard Oil,Vanaspati/Dalda,Soya Oil,Sunflower Oil,Palm Oil,Jaggery,Tea,Salt,Potato,Onion,Tomato,Date,Lat,Lon,Zone
MOHABA,32,22,30,70,127,90,90,85,42,53,148,133,133,122,182,100,42,190,26,20,20,30,2023-06-15,,,
GAUTAM BUDH NAGAR,35,26,31,78,152,125,120,90,42,66,226,145,122,123,139,107,59,268,27,19,19,24,2023-06-15,,,
AURAIYA,38,23,33,65,105,102,100,79,40,68,183,162,134,137,185,133,44,264,24,16,21,20,2023-06-15,,,
MAHARAJGANJ,29,26,31,69,134,115,120,78,42,63,199,145,117,140,174,102,48,198,27,17,19,36,2023-06-15,,,
BALRAMPUR,42,23,32,68,141,111,120,90,42,NR,169,128,109,128,146,107,52,222,29,15,19,29,2023-06-15,,,
KANNAUJ,43,24,31,66,109,97,87,80,41,79,178,173,130,185,197,128,47,280,26,12,14,10,2023-06-15,,,
MATHURA,34,29,34,68,110,92,96,95,41,64,171,146,134,142,172,105,40,267,29,11,22,20,2023-06-15,,,
FIROZABAD,35,31,33,79,110,110,110,110,40,65,190,158,117,142,182,111,45,300,30,13,22,22,2023-06-15,,,
KASGANJ,45,26,30,66,139,120,112,92,41,64,198,137,122,123,168,110,50,510,27,14,25,20,2023-06-15,,,
MAINPURI,34,24,31,66,110,97,92,80,39,68,189,153,122,134,165,110,43,248,30,14,20,16,2023-06-15,,,
SHAMLI,40,21,26,67,117,132,100,102,40,66,202,125,120,120,138,105,40,260,26,18,20,16,2023-06-15,,,
BALLIA,33,27,29,73,132,102,107,98,43,58,205,155,165,168,163,165,51,245,27,17,19,40,2023-06-15,,,
MAU,35,26,30,69,138,106,106,82,42,62,190,127,105,122,123,97,46,274,28,15,17,14,2023-06-15,,,
DEHRADUN,34,25,33,68,117,97,120,107,42,62,176,137,154,132,176,NR,46,283,28,20,25,20,2023-06-15,30.3255646,78.0436813,NORTH ZONE
HALDWANI,35,30,34,104,104,103,105,103,41,57,150,151,151,151,152,140,50,252,28,16,18,18,2023-06-15,29.2144809,79.5279012,NORTH ZONE
RUDRAPUR,32,24,29,72,127,105,109,102,40,61,170,142,142,143,146,90,51,213,28,17,18,17,2023-06-15,28.974744,79.3963951,NORTH ZONE
HARIDWAR,33,24,32,77,107,103,104,85,41,68,153,150,151,156,155,NR,46,298,29,13,19,15,2023-06-15,29.9384473,78.1452985,NORTH ZONE
RAIPUR,34,41,40,67,138,104,109,89,41,54,198,163,110,130,153,95,46,257,28,23,24,28,2023-06-15,21.2379469,81.6336833,WEST ZONE
DURG,28,36,36,65,125,105,106,82,42,49,190,130,118,119,128,110,48,233,10,20,21,22,2023-06-15,21.1990353,81.3979546,WEST ZONE
AMBIKAPUR,23,20,20,82,103,100,100,100,40,40,182,183,163,163,166,148,36,267,10,13,13,13,2023-06-15,23.1226343,83.1981886,WEST ZONE
BILASPUR-CG,40,28,29,65,110,85,100,90,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,22.0811651,82.1406438,WEST ZONE
JAGDALPUR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,19.0870758,82.0235715,WEST ZONE
DANTEWADA,44,37,39,78,142,106,116,88,45,75,228,147,118,108,137,108,50,560,28,23,28,38,2023-06-15,18.8640648,81.3833947,WEST ZONE
DHAMTARI,35,30,35,69,123,100,102,92,39,57,188,152,93,115,127,112,52,217,27,19,14,40,2023-06-15,,,
RAJNANDGAON,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,,,
KORIYA,38,34,35,69,115,88,100,78,40,76,198,135,95,124,173,110,40,200,27,20,20,20,2023-06-15,,,
SILVASA,42,40,42,77,133,129,119,102,42,60,199,161,150,143,147,110,70,317,25,23,22,10,2023-06-15,,,
DAMAN,38,20,28,66,111,111,93,111,35,NR,200,178,160,168,180,115,45,185,27,24,NR,NR,2023-06-15,,,
DIU,37,37,NR,89,117,120,117,96,45,52,206,154,NR,NR,223,144,42,NR,16,22,23,NR,2023-06-15,,,
PANAJI,42,42,38,78,150,118,125,95,41,56,203,175,145,172,125,102,55,308,25,37,27,43,2023-06-15,15.4989946,73.8282141,WEST ZONE
MARGAO,43,44,44,73,150,118,122,95,41,59,220,152,138,140,135,98,55,323,24,33,28,42,2023-06-15,,,
AHMEDABAD,31,31,32,75,106,102,95,89,40,58,195,156,148,152,165,130,53,260,13,24,23,22,2023-06-15,23.0216238,72.5797068,WEST ZONE
