Zone,Div,Type,Location,Address,latitude,longitude,,
6,73,CMS,ANGALAMMAN KOIL ST,"118,  ANGALAMMAN KOIL ST, PATTALAM, CHENNAI - 600 011",13.10442826, 80.252874288],,
6,75,CMS,ANGALAMMAN  KOIL ST,"127,  ANGALAMMAN KOIL ST, PATTALAM, CHENNAI - 600 012",13.09526286, 80.253319959],,
6,76,CMS,DECASTER ROAD,"45,DECASTER ROAD, PULIANTHOPE,CHENNAI - 600 012",13.09708847, 80.258777556],,
6,76,CMS,V.V. KOIL STREET,"1,ERRON STREET, KOSAPET CHENNAI - 600 012 ",13.09708847, 80.258777556],,
6,76,CMS,K.K.LANE,"1,KURAVANKULAM LANE, CHOOLAI, CHENNAI - 600 112",13.09708847, 80.258777556],,
6,77,CMS,VENKATTAMMAL STREET,"88,VENKATAMMAL ST, PURASAIWALKAM, CHENNAI - 600 007",13.09739817, 80.268153444],,
6,78,CMS,TANA STREET,"88,TANAST,PURASAIWALKAM, CHENNAI - 600 007",13.0892083, 80.25462325],,
6,78,CUMS,PERAMBUR BARRACKS,"CUMS,PERAMBUR BARRACKS 33MANN.SAM K.ST,",13.0892083, 80.25462325],,
8,107,CMS,SIVA RAJA PURAM,"20, MAYOR SATHYAMURTHI SALAI, SIVARAJAPURAM, CHETPET, CHENNAI - 600 031",13.07258531, 80.229716882],,
8,107,CMS,JAGANATHA PURAM,"27, SCHOOL ROAD JAGANATHAPURAM CHETPET CHENNAI - 600 032",13.07258531, 80.229716882],,
8,102,CMS,AMINJIKARAI,"NO.385 P.H ROAD, AMINJIKARAI, CHENNAI - 600 029",13.07670351, 80.223549797],,
8,105,CMS,MMDA I,"NO. 39C BLOCK SCHOOL STREET, MMDA  COLONY, CHENNAI - 600 106",13.07262108, 80.215245929],,
8,102,CMS,GUJJI ST,"NO.98,GUJJI ST, ANNANAGAR(E), CHENNAI - 600 102",13.07670351, 80.223549797],,
8,104,CMS,PULAPURAM,"NO.149A,PULLAPURAM,  KILPAUK CHENNAI - 600 010",13.08398727, 80.254780735],,
9,109,CMS,APPASAMY,"NO.114,115 CMS APPASAMY ST,CHENNAI -600 031",13.06354973, 80.227830272],,
9,110,CMS,KUTTY ST,"NO.13,JAYALAKSHMIPURAM, MAIN ROAD,NUNGAMBAKKAM CHENNAI -600 034",13.05688995, 80.240656442],,
9,111,CMS,I A MODEL SCHOOL,1A MODEL SCHOOL ROAD THOUSAND LIGHTS CHENNAI- 600 006,13.05848741, 80.252111312],,
9,111,CMS,I A MODEL SCHOOL(special),"NO.1.MODEL SCHOOL ROAD,THOUSAND LIGHTS, CHENNAI - 600 006",13.05848741, 80.252111312],,
9,112,CMS,TRUSTPURAM,"48, PULIYOOR 2ND MAIND ROAD, TRUSTPURAM, CHENNAI - 600 024",13.05982353, 80.230203946],,
9,113,CMS,RAMA ST,"64,RAMA STREET NUNGAMBAKKAM CHENNAI - 600 034",13.05585594, 80.243299259],,
9,113,CMS,GANGAPURAM,"22A, DHARMAPURAM MAIN ROAD, T. NAGAR, CHENNAI - 600 017",13.05585594, 80.243299259],,
9,114,CMS,BENGARU ST,"51,BANGARU NAICKEN ST, CHENNAI - 600 002",13.06257252, 80.272874818],,
9,114,CMS,BELLS ROAD,"139, BELLS RD,TRIPLICANE,CHENNAI - 600 005",13.06257252, 80.272874818],,
9,114,CMS,THYPOON ALIKHAN ST,"26,THYPHOON ALIKHAN ST, CHENNAI -600 005",13.06257252, 80.272874818],,
9,114,CUGMS,THAYAR SAHIB STREET,"74, ELLIS ROAD, CHENNAI - 600 002",13.06257252, 80.272874818],,
9,115,CMS,SOORAPPA ST,"2/84,SOORAPPA ST, TRIPLICANE, CHENNAI - 600 005",13.05218868, 80.266927334],,
9,116,CMS,TRIPLICANE HIGH ROAD,"190, T.H.RD, TRIPLICANE, CHENNAI - 600 005",13.05344717, 80.273469204],,
9,116,CMS,V.R.PILLAI STREET,"1,V.R.PILLAI ST,TRIPLICANE, CHENNAI - 600 005",13.05344717, 80.273469204],,
9,117,CMS,ERIKARAI,"121, SOUTH BOAG ROAD, T.NAGAR,CHENNAI - 600 017",13.03217314, 80.239218415],,
9,118,CMS,VELLALA TEYNAMPET,"72, MUTHIAH STREET VELLALA TEYNAMPET CHENNAI - 600 086",13.0478593, 80.252293988],,
9,119,CMS,BEGUM SAHIB STREET,"NO,26,BEGUM ST, ROYAPETTAH, CHENNAI - 600 014",13.05339419, 80.268453581],,
10,127,CMS,ARUMBAKKAM,"1, TSD NAGAR, ARUMBAKKAM, CHENNAI - 600106",13.07144598, 80.201178127],,
10,130,CMS,VADAPALANI,"13,KAMARAJAR STREET,MGR NAGAR, CHENNAI - 600 078",13.05121101, 80.215974567],,
10,134,CMS,KAMARAJ COLONY,"21, PERUMAL KOIL STREET, WEST MAMBALAM, CHENNAI - 600 033",13.04659969, 80.226136586],,
10,136,CMS,PRAKASAM ROAD,"1, CARTMEN ST, WEST MAMBALAM, CHENNAI - 600 033",13.04214407, 80.233701206],,
10,137,CMS,MGR NAGAR - II,"NO.2, AMMAN KOIL STREET, VADAPALANI, CHENNAI - 600 026",13.05148867, 80.189062526],,
10,140,CMS,METTUPALAYAM,"78,PARK AVENUE,KAMARAJ COLONY, KODAMBAKAM,CHENNAI - 600 024",13.02562244, 80.219526883],,
10,140,CMS,CARTMAN ' St,"NO.8, PRAKASAM ROAD, T.NAGAR, CHENNAI - 600 017",13.02562244, 80.219526883],,
10,142,CMS,THIDEER NAGAR,"50,ABDUL RASAAK ST,SAIDAPET,CHENNAI - 600 015",13.02550986, 80.218241606],,
13,173,CMS,N.S. GARDEN,"1, PARK VIEW ROAD,  CHENNAI - 600 028",13.02242822, 80.258885788],,
13,176,CMS,DHAMODHARA PURAM,"1,AMMAN KOIL  STREET,KAMARAJ AVENUE,ADYAR,CHENNAI - 600 020",13.0029419, 80.265086201],,
13,181,CMS,GANDHI GRAMAM,"LAKSHMIPURAM,THIRUVANMIYUR,  CHENNAI - 600 041",12.99368945, 80.262971675],,
4,34,CPS,CHINNA  KODUNGAIYUR,"40,LAKSHMI AMMAN KOIL ST, CHINNA KODUNGAIYUR CHENNAI - 600 118",13.13961328, 80.240843444],,
