Zone,Div,Area,Location,Street,latitude,longitude
9,121, MYLAPORE,MYLAPORE,KANESA PURAM STREET,13.04238089,80.27134577
9,121, MYLAPORE,MYLAPORE,KANESA PURAM STREET,13.04228418,80.27120748
9,121, MYLAPORE,MYLAPORE,MUNDAKANNI AMMAN KOVIL STREET,13.04095795,80.26908575
9,121, MYLAPORE,MYLAPORE,MUNDAKANNI AMMAN KOVIL STREET,13.04096364,80.26915379
9,121, CHEPAUK,CHEPAUK,MARINA SERVICE ROAD,13.0449733,80.28034702
9,121, ROYAPETTAH,ROYAPETTAH,AVVAI SHANMUGAM SALAI (ALIAS) LLYODS ROAD,13.04702114,80.27372658
9,122, NANDANAM,NANDANAM,TANK BUND ROAD,13.03203069,80.23930559
9,122, RAJA ANNAMALAI PURAM,RAJA ANNAMALAI PURAM,PUGHS ROAD,13.02312267,80.2519193
9,122, RAJA ANNAMALAI PURAM,RAJA ANNAMALAI PURAM,PUGHS ROAD,13.02185117,80.25111228
9,122, TEYNAMPET,TEYNAMPET,KAVINGAR BHARATHIDASAN ROAD,13.03525698,80.24987627
9,122, TEYNAMPET,TEYNAMPET,ALAYAMMAN KOIL  STREET (OLD),13.0358935,80.24455366
9,122, RAJA ANNAMALAI PURAM,TURN BULLS ROAD T.N.H.B. COLONY,CENATOPH IST LANE,13.0301947,80.24657313
9,123, MYLAPORE,MYLAPORE,SUBBARAYAN SALAI CANAL BANK ROAD,13.03453338,80.26631679
9,123, MYLAPORE,PALLAKKU MANIYAM,PALLAKKU MANIYAM 9TH LANE,13.03627824,80.2665102
9,123, MYLAPORE,MYLAPORE,SUBBARAYAN SALAI CANAL BANK ROAD,13.0342176,80.26539479
9,123, MYLAPORE,LUZ,LUZ CHURCH ROAD,13.03739981,80.26328313
9,123, MYLAPORE,LUZ,LUZ CHURCH ROAD,13.03740541,80.26330415
9,123, MYLAPORE,LUZ,LUZ AVENUE,13.0357283,80.2629221
9,123, MYLAPORE,MYLAPORE,SUBBARAYAN SALAI CANAL BANK ROAD,13.03233992,80.26298985
9,123, TEYNAMPET,TEYNAMPET,CORPORATION COLONY 2ND STREET,13.0355814,80.25068548
9,123, TEYNAMPET,TEYNAMPET,VENKATRAMAN STREET,13.0377706,80.24744422
9,123, TEYNAMPET,TEYNAMPET,KAVINGAR BHARATHIDASAN ROAD,13.03542212,80.2502652
9,123, RAJA ANNAMALAI PURAM,RAJA ANNAMALAI PURAM,RAJA ANNAMALAIPURAM 3RD CROSS STREET,13.02624134,80.25730937
9,124, MYLAPORE,SLATERPURAM,SLATERPURAM,13.03939279,80.26968146
9,124, MYLAPORE,SLATERPURAM,SLATERPURAM,13.03940439,80.26968517
9,124, MYLAPORE,NATTAN THOTTAM,NATTAN THOTTAM,13.04022485,80.27012384
9,124, MYLAPORE,RAMAKRISHNAPURAM,RAMAKRISHNAPURAM 6TH STREET,13.0368794,80.27038553
9,124, MYLAPORE,SLATERPURAM,SHANMUGAM PILLAI STREET,13.0417667,80.2729455
9,124, MYLAPORE,SLATERPURAM,SHANMUGAM PILLAI STREET,13.04136544,80.27406712
9,124, MYLAPORE,SLATERPURAM,SLATERPURAM,13.04111885,80.27087791
9,124, MYLAPORE,R.K.MUTT ROAD,LALA THOTTAM,13.03472652,80.26732327
9,124, MYLAPORE,MYLAPORE,VENKATESA AGRAHARAM IST LANE,13.03363556,80.26667507
9,124, MYLAPORE,MYLAPORE,NORTH MADA STREET,13.03425088,80.26946426
9,125, MYLAPORE,KARANEESWARARPURAM,OLD BURIAL GROUND ROAD,13.04005575,80.27541437
9,125, MYLAPORE,KARANEESWARARPURAM,OLD BURIAL GROUND ROAD,13.04012549,80.27553947
9,125, MYLAPORE,MEENAMBALPURAM,MEENAMBALPURAM,13.04160287,80.2751004
9,125, MYLAPORE,NOCHIKUPPAM,NOCHIKUPPAM SLUM,13.03775062,80.27935862
9,125, MYLAPORE,SANTHOME,LOOP ROAD,13.0332023,80.27954513
9,125, MYLAPORE,SANTHOME,LOOP ROAD,13.03502125,80.27975015
9,125, MYLAPORE,SANTHOME,SERVICE ROAD,13.04161124,80.27986686
9,125, MYLAPORE,MYLAPORE,MANGOLLAI,13.03385698,80.27153285
9,125, MYLAPORE,KARANEESWARARPURAM,BAZAR ROAD 2ND LANE,13.03659055,80.27453505
9,125, MYLAPORE,KAILASAPURAM,KAILASAPURAM 5TH LANE,13.04262853,80.27708913
9,125, MYLAPORE,KAILASAPURAM,KAILASAPURAM 5TH LANE,13.0426857,80.27719591
9,126, MANDAVELIPAKKAM,MANDAVELIPAKKAM,RAMAKRISHNA MUTT ROAD,13.02657714,80.26594668
9,109, CHOOLAIMEDU,EAST NAMACHIVAYAPURAM,EAST NAMACHIVAYAPURAM 3RD STREET,13.06751266,80.22872207
9,109, CHOOLAIMEDU,CHOOLAIMEDU,ANNANEDUMPATHAI,13.06579145,80.2226341
9,109, CHOOLAIMEDU,GILL NAGAR,GILL NAGAR CENTRAL SCHOOL ROAD,13.06389066,80.22432598
9,110, CHETPET,CHETPET,HARRINGTON ROAD 6TH AVENUE,13.06748092,80.23663012
9,110, CHETPET,CHETPET,HARRINGTON ROAD 7TH AVENUE,13.0680339,80.23617268
9,110, NUNGAMBAKKAM,SEETHA NAGAR,SEETHA NAGAR 2ND STREET,13.06247288,80.24126542
9,110, NUNGAMBAKKAM,JAYALAKSHMI PURAM,JAYALAKSHMI PURAM 4TH STREET,13.06125053,80.23986928
9,110, NUNGAMBAKKAM,KAMARAJAPURAM,KAMARAJAPURAM MAIN ROAD,13.05622942,80.23782976
9,110, NUNGAMBAKKAM,KAMARAJAPURAM,KAMARAJAPURAM MAIN ROAD,13.05570111,80.2378113
9,110, NUNGAMBAKKAM,KAMARAJAPURAM,KAMARAJAPURAM MAIN ROAD,13.05487972,80.23777724
13,170, GUINDY,SIDCO INDUSTRIAL ESTATE,KATHIPARA ROAD,1438382.153,80.21161298
13,170, GUINDY,SIDCO INDUSTRIAL ESTATE,KATHIPARA ROAD,1438374.889,80.21157481
13,170, GUINDY,SIDCO INDUSTRIAL ESTATE,KATHIPARA ROAD,1438356.11,80.2114375
13,170, GUINDY,SIDCO INDUSTRIAL ESTATE,KATHIPARA ROAD,1438267.263,80.21084562
13,170, EKKATTUTHANGAL,EKKATTUTHANGAL,REDDY 2ND STREET,1439225.871,80.20653854
13,170, EKKATTUTHANGAL,EKKATTUTHANGAL,ALACHIAMAN KOIL STREET,1439319.336,80.21193033
13,170, SAIDAPET,NERUPPUMEDU,NERUPPU MEDU SLUM MAIN ROAD,1439278.887,80.21878631
13,171, T.NAGAR,KAVERI NAGAR,RAILWAY BORDER I STREET(KAVERI NAGAR),1440591.074,80.22594155
13,171, T.NAGAR,KAVERI NAGAR,RAILWAY BORDER I STREET(KAVERI NAGAR),1440584.019,80.22593041
13,171, SAIDAPET,LITTLE MOUNT,MUTHIYALU STREET,1438594.539,80.22324396
13,171, SAIDAPET,LITTLE MOUNT,VELACHERY MAIN ROAD,1438562.334,80.22329965
13,171, NANDANAM,NANDANAM,GOVT. FARM II STREET,1439400.586,80.23416371
13,171, SAIDAPET,JOTHIAMMAL NAGAR,JOTHIAMMAL NAGAR (OLD),1439339.58,80.23008178
13,171, SAIDAPET,LITTLE MOUNT,L.D.G. ROAD,1438866.108,80.22643064
13,171, SAIDAPET,SRINAGAR COLONY,SATHYA NAGAR SLUM,1438898.047,80.23144778
13,171, KOTTURPURAM,SURIYA NAGAR,SURIYA NAGAR APPROACH ROAD,1439415.635,80.23814514
13,171, SAIDAPET,LITTLE MOUNT,TALUK OFFICE ROAD,1438611.49,80.22691356
13,173, RAJA ANNAMALAI PURAM,PATTINAMBAKKAM,LOOP ROAD,1439744.197,80.27645933
13,173, RAJA ANNAMALAI PURAM,MANDAVELIPAKKAMPAKKAM,SOUTH CANAL BANK ROAD,1440028.026,80.26955225
13,173, RAJA ANNAMALAI PURAM,SRINIVASA AVENUE,SRINIVASA AVENUE,1439725.655,80.25928022
13,173, R.K.NAGAR,R.K. NAGAR,GOVINDASAMY NAGAR SLUM,1439683.612,80.25299025
13,173, RAJA ANNAMALAI PURAM,RAJA ANNAMALAI PURAM,P.S.KUMARASAMY RAJA SALAI,1439304.549,80.26015983
13,174, VELACHERY,VELACHERY,VELACHERY MAIN ROAD,1437028.504,80.21646087
13,174, GUINDY,GUINDY,RACE COURCE ROAD,1437955.383,80.21262151
13,174, GUINDY,GUINDY,RACE COURCE ROAD,1438173.361,80.21351009
13,174, GUINDY,GUINDY,RACE COURCE ROAD,1437812.851,80.21259517
13,175, ADYAR,INDIRA NAGAR,INDIRA NAGAR 2ND AVENUE,1436708.865,80.2521912
13,175, THIRUVANMIYUR,INDIRA NAGAR,3RD AVENUE INDIRA NAGAR,1436248.872,80.25584813
13,175, ADYAR,INDIRA NAGAR,INDIRA NAGAR 13TH CROSS ROAD,1436778.467,80.25047576
13,175, ADYAR,K.B.NAGAR,BALRAM STREET,1437525.165,80.25606813
13,177, VELACHERY WEST,SASTRI NAGAR,SASTRI NAGAR 5TH STREET,1436097.65,80.20647654
13,177, VELACHERY WEST,T.N.H.B. COLONY,TN.H.B APPROACH ROAD (ALIAS) MARUDAPANDI SALAI,1435878.078,80.21795939
13,178, ORANDIAMMAN KOIL STREET,DHANDEESWARAR NAGAR,ORANDIAMMAN KOIL STREET,1435168.161,80.22073775
13,178, VELACHERY MAIN ROAD,VELACHERY,VELACHERY MAIN ROAD,1434616.311,80.22098941
