Month ,Type,City,Rate
2021-03-01,19 Kg,Delhi ,1614.0
2021-03-01,19 Kg,Kolkata,1681.5
2021-03-01,19 Kg,Kolkata ,1681.5
2021-03-01,19 Kg,Mumbai,1563.5
2021-03-01,19 Kg,Mumbai ,1563.5
2021-02-25,19 Kg,Chennai,1634.5
2021-02-25,19 Kg,Delhi,1519
2021-02-25,19 Kg,Delhi ,1519.0
2021-02-25,19 Kg,Kolkata,1584
2021-02-25,19 Kg,Kolkata ,1584.0
2021-02-25,19 Kg,Mumbai,1468.0
2021-02-25,19 Kg,Mumbai ,1468.0
2021-02-15,19 Kg,Chennai,1639.5
2021-02-15,19 Kg,Delhi,1523.5
2021-02-15,19 Kg,Delhi ,1523.5
2021-02-15,19 Kg,Kolkata,1589
2021-02-15,19 Kg,Kolkata ,1589.0
2021-02-15,19 Kg,Mumbai,1473.0
2021-02-15,19 Kg,Mumbai ,1473.0
2021-02-04,19 Kg,Chennai,1649
2021-02-04,19 Kg,Delhi,1533
2021-02-04,19 Kg,Delhi ,1533.0
2021-02-04,19 Kg,Kolkata,1598.5
2021-02-04,19 Kg,Kolkata ,1598.5
2021-02-04,19 Kg,Mumbai,1482.5
2021-02-04,19 Kg,Mumbai ,1482.5
2021-02-01,19 Kg,Chennai,1654.5
2021-02-01,19 Kg,Delhi,1539
2021-02-01,19 Kg,Delhi ,1539.0
2021-02-01,19 Kg,Kolkata,1604
2021-02-01,19 Kg,Kolkata ,1604.0
2021-02-01,19 Kg,Mumbai,1488.0
2021-02-01,19 Kg,Mumbai ,1488.0
2021-01-01,19 Kg,Chennai,1463.5
2021-01-01,19 Kg,Delhi,1349
2021-01-01,19 Kg,Delhi ,1349.0
2021-01-01,19 Kg,Kolkata,1410
2021-01-01,19 Kg,Kolkata ,1410.0
2021-01-01,19 Kg,Mumbai,1297.5
2021-01-01,19 Kg,Mumbai ,1297.5
2020-12-15,19 Kg,Chennai,1446.5
2020-12-15,19 Kg,Delhi,1332
2020-12-15,19 Kg,Delhi ,1332.0
