,City,Month,Accidents
371,KOTA,Aug.,25
372,KOTA,Sep.,34
373,KOTA,Oct.,29
374,KOTA,Nov.,47
375,KOTA,Dec.,28
376,KOTA,Total,353
377,KOZHIKODE,Jan.,150
378,KOZHIKODE,Feb.,140
379,KOZHIKODE,Mar.,92
380,KOZHIKODE,Apr.,20
381,KOZHIKODE,May,39
382,KOZHIKODE,Jun.,71
383,KOZHIKODE,Jul.,70
384,KOZHIKODE,Aug.,71
385,KOZHIKODE,Sep.,70
386,KOZHIKODE,Oct.,79
387,KOZHIKODE,Nov.,101
388,KOZHIKODE,Dec.,100
389,KOZHIKODE,Total,1003
390,LUCKNOW,Jan.,84
391,LUCKNOW,Feb.,125
392,LUCKNOW,Mar.,90
393,LUCKNOW,Apr.,16
394,LUCKNOW,May,65
395,LUCKNOW,Jun.,62
396,LUCKNOW,Jul.,79
397,LUCKNOW,Aug.,89
398,LUCKNOW,Sep.,85
399,LUCKNOW,Oct.,108
400,LUCKNOW,Nov.,104
401,LUCKNOW,Dec.,103
402,LUCKNOW,Total,1010
403,LUDHIANA,Jan.,43
404,LUDHIANA,Feb.,35
405,LUDHIANA,Mar.,34
406,LUDHIANA,Apr.,6
407,LUDHIANA,May,20
408,LUDHIANA,Jun.,19
409,LUDHIANA,Jul.,42
410,LUDHIANA,Aug.,37
411,LUDHIANA,Sep.,37
412,LUDHIANA,Oct.,38
413,LUDHIANA,Nov.,42
414,LUDHIANA,Dec.,35
415,LUDHIANA,Total,388
416,MADURAI,Jan.,59
417,MADURAI,Feb.,52
418,MADURAI,Mar.,54
419,MADURAI,Apr.,8
420,MADURAI,May,34
421,MADURAI,Jun.,36
422,MADURAI,Jul.,31
423,MADURAI,Aug.,47
424,MADURAI,Sep.,46
425,MADURAI,Oct.,57
426,MADURAI,Nov.,55
427,MADURAI,Dec.,51
428,MADURAI,Total,530
429,MALAPPURAM,Jan.,105
430,MALAPPURAM,Feb.,71
431,MALAPPURAM,Mar.,55
432,MALAPPURAM,Apr.,6
433,MALAPPURAM,May,41
434,MALAPPURAM,Jun.,34
435,MALAPPURAM,Jul.,48
436,MALAPPURAM,Aug.,38
437,MALAPPURAM,Sep.,57
438,MALAPPURAM,Oct.,42
439,MALAPPURAM,Nov.,54
440,MALAPPURAM,Dec.,61
441,MALAPPURAM,Total,612
442,MEERUT,Jan.,35
443,MEERUT,Feb.,31
444,MEERUT,Mar.,53
445,MEERUT,Apr.,6
446,MEERUT,May,18
447,MEERUT,Jun.,20
448,MEERUT,Jul.,16
449,MEERUT,Aug.,31
450,MEERUT,Sep.,29
451,MEERUT,Oct.,26
452,MEERUT,Nov.,38
453,MEERUT,Dec.,74
454,MEERUT,Total,377
455,MUMBAI,Jan.,55
456,MUMBAI,Feb.,43
457,MUMBAI,Mar.,23
458,MUMBAI,Apr.,13
459,MUMBAI,May,15
460,MUMBAI,Jun.,24
461,MUMBAI,Jul.,29
462,MUMBAI,Aug.,34
463,MUMBAI,Sep.,42
464,MUMBAI,Oct.,48
465,MUMBAI,Nov.,39
466,MUMBAI,Dec.,53
467,MUMBAI,Total,418
468,NAGPUR,Jan.,101
469,NAGPUR,Feb.,87
470,NAGPUR,Mar.,89
471,NAGPUR,Apr.,25
472,NAGPUR,May,49
473,NAGPUR,Jun.,70
474,NAGPUR,Jul.,61
475,NAGPUR,Aug.,74
476,NAGPUR,Sep.,72
477,NAGPUR,Oct.,77
478,NAGPUR,Nov.,89
479,NAGPUR,Dec.,96
480,NAGPUR,Total,890
481,NASIK,Jan.,8
482,NASIK,Feb.,9
483,NASIK,Mar.,5
484,NASIK,Apr.,7
485,NASIK,May,9
486,NASIK,Jun.,5
487,NASIK,Jul.,12
488,NASIK,Aug.,7
489,NASIK,Sep.,8
490,NASIK,Oct.,11
491,NASIK,Nov.,10
492,NASIK,Dec.,7
493,NASIK,Total,98
494,PATNA,Jan.,52
495,PATNA,Feb.,33
496,PATNA,Mar.,32
497,PATNA,Apr.,13
498,PATNA,May,18
499,PATNA,Jun.,28
500,PATNA,Jul.,21
501,PATNA,Aug.,29
502,PATNA,Sep.,40
503,PATNA,Oct.,39
504,PATNA,Nov.,29
505,PATNA,Dec.,39
506,PATNA,Total,373
507,PUNE,Jan.,27
508,PUNE,Feb.,28
509,PUNE,Mar.,14
510,PUNE,Apr.,2
511,PUNE,May,8
512,PUNE,Jun.,5
513,PUNE,Jul.,22
514,PUNE,Aug.,5
515,PUNE,Sep.,12
516,PUNE,Oct.,10
517,PUNE,Nov.,18
518,PUNE,Dec.,23
519,PUNE,Total,174
520,RAIPUR,Jan.,131
521,RAIPUR,Feb.,106
522,RAIPUR,Mar.,70
523,RAIPUR,Apr.,20
524,RAIPUR,May,43
525,RAIPUR,Jun.,65
526,RAIPUR,Jul.,57
527,RAIPUR,Aug.,76
528,RAIPUR,Sep.,51
529,RAIPUR,Oct.,87
530,RAIPUR,Nov.,109
531,RAIPUR,Dec.,92
532,RAIPUR,Total,907
533,RAJKOT,Jan.,48
534,RAJKOT,Feb.,45
535,RAJKOT,Mar.,46
536,RAJKOT,Apr.,12
537,RAJKOT,May,26
538,RAJKOT,Jun.,32
539,RAJKOT,Jul.,44
540,RAJKOT,Aug.,29
541,RAJKOT,Sep.,30
542,RAJKOT,Oct.,37
543,RAJKOT,Nov.,32
544,RAJKOT,Dec.,51
545,RAJKOT,Total,432
546,RANCHI,Jan.,31
547,RANCHI,Feb.,40
548,RANCHI,Mar.,6
549,RANCHI,Apr.,6
550,RANCHI,May,20
551,RANCHI,Jun.,21
552,RANCHI,Jul.,29
553,RANCHI,Aug.,24
554,RANCHI,Sep.,22
555,RANCHI,Oct.,11
556,RANCHI,Nov.,19
557,RANCHI,Dec.,18
558,RANCHI,Total,247
559,SRINAGAR,Jan.,26
560,SRINAGAR,Feb.,28
561,SRINAGAR,Mar.,28
562,SRINAGAR,Apr.,7
563,SRINAGAR,May,23
564,SRINAGAR,Jun.,16
565,SRINAGAR,Jul.,26
566,SRINAGAR,Aug.,18
567,SRINAGAR,Sep.,18
568,SRINAGAR,Oct.,41
569,SRINAGAR,Nov.,22
570,SRINAGAR,Dec.,23
571,SRINAGAR,Total,276
572,SURAT,Jan.,78
573,SURAT,Feb.,62
574,SURAT,Mar.,53
575,SURAT,Apr.,12
576,SURAT,May,27
577,SURAT,Jun.,39
578,SURAT,Jul.,38
579,SURAT,Aug.,34
580,SURAT,Sep.,55
581,SURAT,Oct.,47
582,SURAT,Nov.,62
583,SURAT,Dec.,68
584,SURAT,Total,575
585,THIRUVANANTHAPURAM,Jan.,178
586,THIRUVANANTHAPURAM,Feb.,199
587,THIRUVANANTHAPURAM,Mar.,141
588,THIRUVANANTHAPURAM,Apr.,22
589,THIRUVANANTHAPURAM,May,73
590,THIRUVANANTHAPURAM,Jun.,80
591,THIRUVANANTHAPURAM,Jul.,55
592,THIRUVANANTHAPURAM,Aug.,63
593,THIRUVANANTHAPURAM,Sep.,70
594,THIRUVANANTHAPURAM,Oct.,98
595,THIRUVANANTHAPURAM,Nov.,105
596,THIRUVANANTHAPURAM,Dec.,130
597,THIRUVANANTHAPURAM,Total,1214
598,THRISSUR,Jan.,209
599,THRISSUR,Feb.,194
600,THRISSUR,Mar.,141
601,THRISSUR,Apr.,29
602,THRISSUR,May,69
603,THRISSUR,Jun.,89
604,THRISSUR,Jul.,123
605,THRISSUR,Aug.,101
606,THRISSUR,Sep.,97
607,THRISSUR,Oct.,123
608,THRISSUR,Nov.,134
609,THRISSUR,Dec.,155
610,THRISSUR,Total,1464
611,TIRUCHIRAPPALLI,Jan.,35
612,TIRUCHIRAPPALLI,Feb.,53
613,TIRUCHIRAPPALLI,Mar.,38
614,TIRUCHIRAPPALLI,Apr.,10
615,TIRUCHIRAPPALLI,May,28
616,TIRUCHIRAPPALLI,Jun.,30
617,TIRUCHIRAPPALLI,Jul.,28
618,TIRUCHIRAPPALLI,Aug.,25
619,TIRUCHIRAPPALLI,Sep.,36
620,TIRUCHIRAPPALLI,Oct.,38
621,TIRUCHIRAPPALLI,Nov.,39
622,TIRUCHIRAPPALLI,Dec.,38
623,TIRUCHIRAPPALLI,Total,398
624,VADODARA,Jan.,47
625,VADODARA,Feb.,56
626,VADODARA,Mar.,48
627,VADODARA,Apr.,7
628,VADODARA,May,40
629,VADODARA,Jun.,34
630,VADODARA,Jul.,33
631,VADODARA,Aug.,39
632,VADODARA,Sep.,33
633,VADODARA,Oct.,47
634,VADODARA,Nov.,50
635,VADODARA,Dec.,47
636,VADODARA,Total,481
637,VARANASI,Jan.,13
638,VARANASI,Feb.,14
639,VARANASI,Mar.,9
640,VARANASI,Apr.,5
641,VARANASI,May,6
642,VARANASI,Jun.,8
643,VARANASI,Jul.,7
644,VARANASI,Aug.,7
645,VARANASI,Sep.,15
646,VARANASI,Oct.,11
647,VARANASI,Nov.,15
648,VARANASI,Dec.,10
649,VARANASI,Total,120
650,VASAI VIRAR,Jan.,42
651,VASAI VIRAR,Feb.,28
652,VASAI VIRAR,Mar.,26
653,VASAI VIRAR,Apr.,7
654,VASAI VIRAR,May,13
655,VASAI VIRAR,Jun.,12
656,VASAI VIRAR,Jul.,13
657,VASAI VIRAR,Aug.,20
658,VASAI VIRAR,Sep.,20
659,VASAI VIRAR,Oct.,19
660,VASAI VIRAR,Nov.,34
661,VASAI VIRAR,Dec.,40
662,VASAI VIRAR,Total,274
663,VIJAYAWADA,Jan.,122
664,VIJAYAWADA,Feb.,117
665,VIJAYAWADA,Mar.,89
666,VIJAYAWADA,Apr.,26
667,VIJAYAWADA,May,43
668,VIJAYAWADA,Jun.,53
669,VIJAYAWADA,Jul.,63
670,VIJAYAWADA,Aug.,76
671,VIJAYAWADA,Sep.,78
672,VIJAYAWADA,Oct.,95
673,VIJAYAWADA,Nov.,118
674,VIJAYAWADA,Dec.,111
675,VIJAYAWADA,Total,991
676,VISHAKHAPATNAM,Jan.,103
677,VISHAKHAPATNAM,Feb.,99
678,VISHAKHAPATNAM,Mar.,96
679,VISHAKHAPATNAM,Apr.,27
680,VISHAKHAPATNAM,May,42
681,VISHAKHAPATNAM,Jun.,98
682,VISHAKHAPATNAM,Jul.,83
683,VISHAKHAPATNAM,Aug.,102
684,VISHAKHAPATNAM,Sep.,109
685,VISHAKHAPATNAM,Oct.,136
686,VISHAKHAPATNAM,Nov.,133
687,VISHAKHAPATNAM,Dec.,116
688,VISHAKHAPATNAM,Total,1144
