City,Incidents,Type of road,Injury
PATNA,0,Expressways,Died
PATNA,88,Other Roads,Cases
PATNA,0,Other Roads,Injured
PATNA,94,Other Roads,Died
PUNE,9,National Highways,Cases
PUNE,0,National Highways,Injured
PUNE,9,National Highways,Died
PUNE,40,State Highways,Cases
PUNE,8,State Highways,Injured
PUNE,42,State Highways,Died
PUNE,0,Expressways,Cases
PUNE,0,Expressways,Injured
PUNE,0,Expressways,Died
PUNE,105,Other Roads,Cases
PUNE,80,Other Roads,Injured
PUNE,40,Other Roads,Died
RAIPUR,255,National Highways,Cases
RAIPUR,112,National Highways,Injured
RAIPUR,56,National Highways,Died
RAIPUR,139,State Highways,Cases
RAIPUR,94,State Highways,Injured
RAIPUR,27,State Highways,Died
RAIPUR,0,Expressways,Cases
RAIPUR,0,Expressways,Injured
RAIPUR,0,Expressways,Died
RAIPUR,125,Other Roads,Cases
RAIPUR,34,Other Roads,Injured
RAIPUR,94,Other Roads,Died
RAJKOT,83,National Highways,Cases
RAJKOT,52,National Highways,Injured
RAJKOT,35,National Highways,Died
RAJKOT,88,State Highways,Cases
RAJKOT,72,State Highways,Injured
RAJKOT,30,State Highways,Died
RAJKOT,0,Expressways,Cases
RAJKOT,0,Expressways,Injured
RAJKOT,0,Expressways,Died
RAJKOT,513,Other Roads,Cases
RAJKOT,323,Other Roads,Injured
RAJKOT,76,Other Roads,Died
RANCHI,0,National Highways,Cases
RANCHI,0,National Highways,Injured
RANCHI,0,National Highways,Died
RANCHI,0,State Highways,Cases
RANCHI,0,State Highways,Injured
RANCHI,0,State Highways,Died
RANCHI,0,Expressways,Cases
RANCHI,0,Expressways,Injured
RANCHI,0,Expressways,Died
RANCHI,261,Other Roads,Cases
RANCHI,200,Other Roads,Injured
RANCHI,73,Other Roads,Died
SRINAGAR,60,National Highways,Cases
SRINAGAR,58,National Highways,Injured
SRINAGAR,16,National Highways,Died
SRINAGAR,0,State Highways,Cases
SRINAGAR,0,State Highways,Injured
SRINAGAR,0,State Highways,Died
SRINAGAR,0,Expressways,Cases
SRINAGAR,0,Expressways,Injured
SRINAGAR,0,Expressways,Died
